X,Y,FID,objectid,type,feature_gp,feature_id,asset_id,site_code,site_name,plot_no,location,prim_meas,unit,xy_accurac,sym_code,sym_rot,modified,sculpture,artist,installed,photo_link,label,GlobalID
174.7792182,-41.29709613,115,0,P-Mon.&Memorial-Plaque,PMME, ,1393844,R1536,Tory St,7000101,"Plaque at the base of the kowhai tree in Tory St. ""Kowhai (Sophora microphylla)""",1,No., ,0,0,, , , , , ,{86BF7B96-0C3C-4BA2-B511-ED2A385703C8}
174.7742266,-41.27911831,116,0,P-Mon.&Memorial-Memorial,PMME, ,1311959,P1147,Bolton St Memorial Park,7000253,"Monument shaped like a book located beside the path and above the mass grave ""Early Settlers""",1,No., ,0,0,, , , , , ,{A6E8F9E1-A04A-4F36-A1A1-E0BA2F64AE93}
174.7718074,-41.27952169,117,0,P-Mon.&Memorial-Memorial,PMME,AM7-6,1321117,P1147,Bolton St Memorial Park,7000262,Kinross St entrance. Title/Year: Seddon Memorial (1910) Dedicated by Parliament and the people of NZ to the memory of Richard John Seddon P.C.L.L.D. Prime Minister from 1892-1906.,1,No., ,0,0,, , , , , ,{8B391EFE-363E-4E7A-85D7-9B0724E1EC7C}
174.7722852,-41.27892985,118,0,P-Mon.&Memorial-Plaque,PMME, ,1292315,P1147,Bolton St Memorial Park,7000187,Plaque in lawn beside Robertson Way - Site of the Sexton's Cottage,1,No., ,0,0,, , , , , ,{B3A09DFA-4F0E-43B9-80E1-75555587CE6F}
174.7730658,-41.27885063,119,0,P-Mon.&Memorial-Plaque,PMME,AM7-5,1321116,P1147,Bolton St Memorial Park,7000261,Bridge across motorway. Comments: Denis McGrath Bridge. Opened 6/7/78.,2,No., ,0,0,, , , , , ,{63E0864A-CD38-4F78-8874-E82371AC300F}
174.7798882,-41.27976946,120,0,P-Mon.&Memorial-Statue,PMME, ,1403746,P0719,"Railway Station Reserve, Bunny St",7000171,Statue of Mahatma Gandhi - donated to Wellington City by the People of India.,1,No., ,0,0,, , , , , ,{AE83B5AC-3765-49CE-B695-FC545682BBEA}
174.777968,-41.27867461,121,0,P-Mon.&Memorial-Plaque,PMME, ,1336480,P0485,Waititi Landing,7000112,Plaque on a timber plinth - See linked photo for plaque text.,1,No., ,0,0,, , , , , ,{CF8CBF6A-C6D5-4028-8221-3BF4FC837E65}
174.8019174,-41.30385001,122,0,P-Mon.&Memorial-Other,PMME, ,1429827,P1730,Patent Slip - 330 Evans Bay Parade,7000100,The Cog. Cast iron cog from the working engine of the Patent Slip. Diameter 4.5m. Cast in 1869.,1,No., ,0,0,, , , , , ,{BFFB493A-CA6F-45A1-8480-FBBA8A69343A}
174.8019412,-41.30388824,123,0,P-Mon.&Memorial-Other,PMME, ,1429828,P1730,Patent Slip - 330 Evans Bay Parade,7000101,2x original chain trolleys from the Patent Slip. 4 cast iron wheels and wooden top.,2,No., ,0,0,, , , , , ,{4E50125D-8EE9-48A8-AE43-87500FF50AC4}
174.82801,-41.1841122,124,0,P-Mon.&Memorial-Plaque,PMME,60563044,P182807000210.0,P1828,Willowbank Reserve & Play Area,7000210,"Memorial rock & brass plaque, has RSA logo at the top. In the grass area by the stream not far from the asphalt entrance to the picnic area. See attributes for plaque text.",1,No., ,0,0,, , , , , ,{805ACB5F-D8D7-4867-86AE-BEC10C1E5EC8}
174.7386363,-41.29589456,125,0,P-Mon.&Memorial-Plaque,PMME, ,1315074,P1404,Wrights Hill Reserve,7000141,"Plaque on the west side of the flat grass area beside the top carpark ""Wrights Hill Recreation Reserve Commemorate Plaque.",1,No., ,0,0,, , , , , ,{73BBCB1E-AA15-4773-A4A8-C2D9E2FC0BEB}
174.7727229,-41.25024306,126,0,P-Mon.&Memorial-Plaque,PMME,40181512,P037007000107,P0370,Awarua St/ Ngaio Station - Railway Land,7000107,"Memorial plaque set into rock wall, copper, ""commemorating the people of Ngaio who gave up their lives in the cause for freedom"" ""To the glory of God and in memory of the people of Ngaio who gave their lives in the cause of freedom"" .",1,No., ,0,0,, , , , , ,{FDBF9521-44C9-44EE-A63D-E320A12020B1}
174.7727372,-41.25024985,127,0,P-Mon.&Memorial-Plaque,PMME, ,1391766,P0370,Awarua St/ Ngaio Station - Railway Land,7000120,"Memorial plaque set into the rock retaining wall located below the other plaque in the paved area. :""names of armed forces who died 1939- 1945 unveiled at Ngaio in November 1993",1,No., ,0,0,, , , , , ,{CC3522E9-0964-4079-B026-AA7C35A63EA1}
174.8099178,-41.21098738,128,0,P-Mon.&Memorial-Plaque,PMME,30190512,P105807000135.0,P1058,John Walker Park & Play Area,7000135,"Plaque, bronze set into grass under sign of John Walker Park ""This natural reserve was donated by Bjorn Lund in the memory of Edward Irwin Wilson 1985""",1,No., ,0,0,, , , , , ,{D61E16FE-D0DC-42B4-AFD8-C5D8FAE06FCC}
174.8214266,-41.34173425,129,0,P-Mon.&Memorial-Memorial,PMME,10543022,P004607000101.0,P0046,Ataturk Memorial Historic Reserve,9000000,"Ataturk Memorial, large granite and marble structure.  Turkish Memorial to WW1.  Origin/Provenance: Ministry of Internal Affairs of Culture & Heritage.  (contact person Paul Riley 3852496)",1,No., ,0,0,, , , , , ,{7312855B-49D3-44BA-B7D1-ACA58AC9173E}
